Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Puerto Rico,PRI,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,88.159912109375,85.8833999633789,81.2217483520508,83.7782592773438,86.5002899169922,87.8800277709961,94.4971237182617,81.8762817382813,..,85.193000793457,..,..
Puerto Rico,PRI,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.03162002563477,1.04507994651794,1.03898000717163,1.06450998783112,1.04548001289368,1.04235005378723,1.04142999649048,1.04041004180908,..,1.04155004024506,..,..
Puerto Rico,PRI,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Puerto Rico,PRI,Forest area (sq. km),AG.LND.FRST.K2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3203.3,3312.12,3420.94,3529.76,3638.58,3747.4,3856.22,3965.04,4073.86,4182.68,4291.5,4353.8,4416.1,4478.4,4540.7,4603,4665.3,4727.6,4789.9,4852.2,4914.5,4919.36,4924.22,4929.08,4933.94,4938.8,4943.7,4948.6,4953.5,4958.4,4963.3
Puerto Rico,PRI,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.02425214978926,2.01677151753314,2.01677151753314,..,..
Puerto Rico,PRI,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.3994366197183,..,..,..,..,11.8135211267606,..,..,..,..,12.8619718309859,..,..,..,..,14.1667605633803,..,..,..,..,13.5239436619718,..,..,..,..,12.3239436619718,..,..,..
Puerto Rico,PRI,Urban population growth (annual %),SP.URB.GROW,..,4.81780662794178,5.07640615196383,5.09721584458606,4.79536860241014,4.30227951923754,3.86303782549452,3.38281000557719,3.14102774084275,3.26472554595344,3.42133981853345,3.14733869006905,3.47707098329201,3.62491048109561,3.51552001073908,3.24607000934643,3.02317020853166,2.79689137579924,2.61643048095154,2.50236354217332,3.66260933210638,6.77526267058698,6.00984383098607,5.31215595037969,4.70076789554467,4.14886175898106,3.67371505849305,3.250951223178,2.8847363812197,2.5574886455785,2.00145645456832,0.883696092978518,0.818223017932615,1.01037409552337,1.09357929063143,1.08499380749645,1.27856001493344,1.08258953972192,0.724660564284048,0.646079929839081,0.370913652828193,0.156908970557385,0.0706231082346651,0.00529819033637695,-0.039007912220217,-0.203720764774072,-0.482985004438138,-0.646252309966882,-0.647314085202659,-0.60715506445333,-0.569042031446238,-1.21199320673227,-1.26011769056927,-1.18861464908686,-1.67048609741356,-1.7880390243471,-1.95848440829816,-2.43405340742061,-4.05798859157931,0.00849952015032448,0.0159932012506492
Puerto Rico,PRI,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Puerto Rico,PRI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Puerto Rico,PRI,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Puerto Rico,PRI,GDP (current US$),NY.GDP.MKTP.CD,1691900000,1865100000,2094400000,2333600000,2570500000,2881500000,3170500000,3532700000,3941700000,4460700000,5034700000,5646800000,6328900000,7002400000,7684800000,8198300000,8968600000,9910900000,11165000000,12750000000,14436100000,15955700000,16764200000,17276600000,19162600000,20289200000,22009300000,24025800000,26385800000,28161200000,30603919000,32287031000,34630430000,36922456000,39690630000,42647331000,45340835000,48187039000,54086400000,57841000000,61701800000,69208400000,71623500000,74827400000,80322313000,83914521300,87276164400,89524131600,93639300000,96385600000,98381300000,100351700000,101564800000,102450000000,102445800000,103375500000,104336700000,103445500000,100925000000,104914600000,103138300000
Puerto Rico,PRI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,7.04173846987173,8.32331253031397,8.65104701177751,7.06092371941367,9.20484246776428,7.49914839484369,6.22322335473211,5.18043459796682,9.37523403607581,8.39791794645981,6.3654485740831,7.17357497615009,6.34489584933857,2.9173784910372,-0.654567386286814,6.24308781357645,5.95068223474885,6.93194622541287,7.90682468764641,4.24346530546786,1.14794722525437,-1.55664320783397,-2.3419746327954,5.92868652841074,3.0974426445499,4.97736744907553,5.7689989036148,5.88837273759657,4.33495239702751,-2.84054072620243,2.30439118740367,4.56405181454294,4.64452700125719,4.1859586128697,4.54898810603508,2.31370750870583,4.88008720930233,5.53072561179826,5.38969992777254,3.2719645286232,6.3134715546886,0.916459383541564,0.0534198046896961,8.74867692653547,-1.98693873332242,-1.40941402442895,-1.16280669029354,-1.8441342497794,-1.9524251417231,-0.413254118484915,-0.358510628287519,0.0292751104899338,-0.306826657099961,-1.19036345385329,-1.04944365110551,-1.26300292505279,-2.88595475858821,-4.14747474747475,1.48481463527726,-3.90330519298465
Puerto Rico,PRI,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,..,2.98507219661961,3.66581701962122,2.54934036400915,2.88692935025179,2.65003907084638,2.3538327214799,4.89614425716857,6.08203640275144,3.46666562752335,4.12371165796964,5.44554418620432,4.57746494985611,4.04040438842144,6.63430395901862,7.3849283720443,2.96749897854671,4.30008965159747,5.35087861328964,5.82847656713685,8.61526273489228,9.27200377082396,6.72853720983018,5.52795113023944,4.70865202743039,2.69814433030757,3.33456826517381,3.20796942389039,3.71561202814621,2.29421371219236,11.8512386196171,3.12329748165155,2.57638033365754,1.88639080485684,3.17826454435239,2.77418243753762,3.91155277613457,1.33225023071013,6.36014257640241,1.47277776354309,3.29507190726068,5.50491102448902,2.54977824252154,4.41747288386753,-1.29217804980291,6.59012253340062,5.49286384229968,3.78248397653118,6.56185783978664,4.98255558535365,2.49409859131009,2.36982634915879,1.17922814906271,1.18201519575041,1.20055485938147,1.97770278824407,2.22086666016862,2.0921762782115,1.7849566601507,2.43210750800674,2.29998946799495
Puerto Rico,PRI,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,9.69324428157693,..,..,8.99468632156325,7.45380276210854,6.15304528891202,5.39347106134679,4.81218331587737,4.27987923992186,3.49048355639249,3.17198641428486,3.12566409293759,2.9641801892904,2.600536958757,3.72033104309806,3.30312381835259,3.18332850166135,2.67785973019605,2.94312583967756,2.72313725490196,2.63436800797999,2.29823824714679,2.3144558046313,2.26549205283447,1.79829459467922,1.75906393549277,1.69382942665146,1.71149347784465,1.51672490506257,1.52443787906765,1.41844578793977,1.39158041505891,1.21280619385898,1.11395623303065,0.930194355695538,0.74658833867001,0.828612882846114,0.967065023439187,0.8074118447521,0.580729932055117,0.660110401965583,0.587789921454621,0.533623740811326,0.563162691741261,0.626600481487628,0.594971397399844,0.590822137458644,0.480571207238608,0.553943910302619,0.588365896980462,0.83552463730404,0.792213784121246,0.803821796527931,0.826451927769644,0.846398778671258,0.826985117363399,0.805660903593846,0.819078645276982,0.708149616051523,0.685891191502422,0.61800514454863
Puerto Rico,PRI,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,27.6257462024942,..,..,31.01217003771,30.8811515269403,31.2024986985945,32.2756662986911,32.1199082854474,32.3515234543471,31.7707983051987,30.3156096688978,32.2023092725083,32.9425334576309,33.752713355421,35.212367270456,34.543746874352,37.5710813281895,36.5708462399984,38.0322436184505,37.6611764705882,39.3167129626423,39.0631561134892,38.7725033106262,38.8195594040494,40.1636521140138,40.6294974666325,40.3456720568123,41.2094498414205,41.636410493523,41.3125150916864,41.9740360703477,41.6002945578985,43.2605081715705,44.1503674620128,44.5336846505082,44.2531796421211,43.103529081456,42.6658297057846,45.2546296296296,40.3343648968725,46.0618652940433,48.3331503112339,49.2457084616083,49.0033062755087,47.9433404762634,47.2323566719793,46.8599016480151,46.7782620747588,47.3982259585452,49.4013628591823,50.901238345092,49.7847071848309,49.6384574183182,49.2639336261591,49.9339162757282,50.9382784121963,51.1515123633391,50.2294090713629,50.7787961357444,50.5778032800011,51.1313449998691
Puerto Rico,PRI,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..,..,..,..,..,..,..,..,..,..,31.8197917404548,31.1949943908104,35.2122129555581,43.4455028107433,38.2811070587805,37.3101710411881,45.2017475708563,42.7039856695029,47.32,48.5816806478204,50.7204321966445,52.9795635938488,49.3222046004422,47.7283875883231,51.9670563649626,52.575047820694,50.2297530155083,52.879958159313,58.0760052838657,63.0814635210608,66.0419968624554,60.7881565432482,53.6007138853385,54.8053784986532,55.833036773157,50.604273167885,49.6955208225183,55.9713717311561,60.340934631144,62.341293122729,67.7674964310691,65.8614840101363,73.7367595292633,68.5739714691732,67.3819013968444,68.8832975340974,67.0330992632605,68.297819398479,63.0868096479142,62.6716662617794,64.0527265606861,57.4524835376036,60.8666666666667,60.8186963252764,67.198764504162,68.7602732307999,68.723047401772,60.0186276938321,..,..
Puerto Rico,PRI,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,53.5197115668775,..,..,49.1472403153925,52.1688387473254,52.1811556481,51.9350260211323,50.8421320802785,49.4152269325418,50.0212971058354,49.9215444812998,50.9863993766381,49.1048997456114,49.9285959099737,55.4536227357901,60.3869094812339,60.5646366211003,61.6301244084795,58.7210031347962,57.9356862745098,59.8374907350323,57.9053253696171,50.6466160031496,49.2388548672771,49.7239414275725,49.8403091299805,45.8846941974529,44.6345178932647,44.9450082999189,49.8657727653651,51.3711985710066,49.2590972517727,44.4328874923008,44.3792254773084,41.9600293570548,44.1214011727956,42.0391463897831,44.3841340821958,40.3012587267779,43.7395619024567,43.8282189498524,42.1181532877512,40.4680028203034,45.1033979531562,48.4268922883234,46.3628933315502,48.8451804602907,50.5626797948186,47.9801749906289,42.1753871947677,41.4815620448195,44.5056735461382,45.8586045559091,44.0223523670083,41.5629532884706,41.6590244303534,41.5162641716673,44.4082149537679,46.0366608867971,..,..
Puerto Rico,PRI,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,23.4647437791832,..,..,24.2543709290367,25.714841470531,29.3250043380184,26.9042737738527,26.8633056868684,27.1710175812467,27.7310735983142,28.6412298647387,30.2383650917334,29.9767732149347,25.6026505198218,23.4124505517385,27.0531695595428,22.0067792074571,15.0975188933397,16.6117330944917,16.4007843137255,17.1362071473597,14.3390763175542,9.03651829493802,10.1073127814501,13.7533528853078,12.3247836287286,10.2620255982698,13.6303473765702,15.3540919737131,16.9978552050339,16.9543645701062,15.5975939689221,15.4534610167994,16.0490407247015,16.3290429000497,16.8692854425052,17.4552188992549,18.5658388347954,16.9175615311797,20.7001953631507,19.7145610014619,17.5690537564804,16.193840010611,15.5278186867377,15.3173676659436,14.5964259942695,13.9914627137303,13.3905727827244,12.146158717547,10.430914991451,9.16037905577584,10.0696849181429,10.3344859636409,9.52952659834065,8.94121574530142,8.59855575063724,8.07529852870562,7.79415247642478,15.0755511518454,14.3096385059849,11.5110487568634
Puerto Rico,PRI,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Puerto Rico,PRI,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7,7,7,7,7,7,7,7,6,6,6,6,6,5.5,5.5,5.5,5.5,..
Puerto Rico,PRI,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Puerto Rico,PRI,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Puerto Rico,PRI,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
